Country , Territory,ISO3,Region,CPI score 2023,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Suriname,SUR,AME,40,87,5.908999,4,30.30924,49.69076,,,,,,34.50329,,,32.41864,60.80639,,,33.78424
Tanzania,TZA,SSA,40,87,2.20367,9,36.38598,43.61402,39.22922,,32.8455,37.26319,,34.50329,,,32.41864,68.04044,35.11188,46.43259,32.88596
Tunisia,TUN,MENA,40,87,1.702574,7,37.20778,42.79222,,,32.8455,37.26319,,46.73721,,,39.03732,49.23191,,43.9775,33.78424
India,IND,AP,39,93,1.256354,9,36.93958,41.06042,,,44.81405,37.26319,,46.73721,48.49924,32.17834,41.12743,32.59359,,39.24269,31.0894
Kazakhstan,KAZ,ECA,39,93,3.195811,9,33.75887,44.24113,,,32.8455,19.79276,23.71598,46.73721,61.93864,,67.25381,28.97656,,30.12381,37.37735
Lesotho,LSO,SSA,39,93,4.650449,5,31.37326,46.62674,23.90787,,36.83502,,,58.97113,,,,40.55105,35.11188,,
Maldives,MDV,AP,39,93,4.17214,3,32.15769,45.84231,,,,,,34.50329,,,,48.5085,35.11188,,
Morocco,MAR,MENA,38,97,1.703866,7,35.20566,40.79434,,,28.85599,37.26319,,34.50329,,,47.74611,36.21062,,44.85432,36.47907
Albania,ALB,ECA,37,98,1.560074,7,34.44148,39.55852,,,44.81405,37.26319,44.48782,34.50329,,,32.41864,36.21062,,,29.29284
Argentina,ARG,AME,37,98,2.046685,8,33.64344,40.35656,,,48.80357,37.26319,,34.50329,26.75652,,32.41864,47.7851,,25.56437,43.6653
Belarus,BLR,ECA,37,98,3.337556,7,31.52641,42.47359,,,24.86647,37.26319,23.71598,46.73721,,,23.70985,49.23191,,,50.85153
Ethiopia,ETH,SSA,37,98,1.204134,8,35.02522,38.97478,39.22922,,32.8455,37.26319,,46.73721,,,32.41864,41.27445,35.11188,,31.0894
Gambia,GMB,SSA,37,98,3.338873,7,31.52425,42.47575,21.45646,,28.85599,,,46.73721,,,41.12743,58.63617,35.11188,,30.19112
Zambia,ZMB,SSA,37,98,2.055679,8,33.62868,40.37132,31.56854,,32.8455,37.26319,,46.73721,,,32.41864,54.29574,26.78049,,35.58079
Algeria,DZA,MENA,36,104,2.327238,7,32.18333,39.81667,,,36.83502,37.26319,,34.50329,,,23.70985,28.25316,,51.51812,36.47907
Brazil,BRA,AME,36,104,1.466162,8,33.59549,38.40451,,,48.80357,37.26319,,34.50329,32.74861,,32.41864,39.10423,,26.61655,35.58079
Serbia,SRB,ECA,36,104,1.259137,8,33.93502,38.06498,,,36.83502,37.26319,47.45523,34.50329,,,32.41864,28.97656,,35.73543,31.98768
Ukraine,UKR,ECA,36,104,1.933333,8,32.82933,39.17067,,,48.80357,19.79276,35.5856,34.50329,,,39.03732,34.7638,,43.27605,32.88596
Bosnia and Herzegovina,BIH,ECA,35,108,1.953783,6,31.7958,38.2042,,,36.83502,37.26319,41.52041,34.50329,,,,23.18933,,,37.37735
Dominican Republic,DOM,AME,35,108,1.621773,7,32.34029,37.65971,,,40.82453,37.26319,,34.50329,,,23.70985,40.55105,,35.91079,30.19112
Egypt,EGY,MENA,35,108,3.745501,7,28.85738,41.14262,,,24.86647,37.26319,,34.50329,,,30.32853,23.91273,,64.495,27.49628
Nepal,NPL,AP,35,108,0.7388446,6,33.7883,36.2117,,,32.8455,,,34.50329,,,,35.48721,35.11188,38.01516,31.0894
Panama,PAN,AME,35,108,1.171405,7,33.0789,36.9211,,,32.8455,37.26319,,34.50329,,,32.41864,44.16807,,31.35135,33.78424
Sierra Leone,SLE,SSA,35,108,2.136913,8,31.49546,38.50454,34.17318,,32.8455,19.79276,,46.73721,,,41.12743,44.89148,35.11188,,24.80145
Thailand,THA,AP,35,108,0.8833423,9,33.55132,36.44868,,,32.8455,37.26319,,34.50329,42.76396,37.47819,32.41864,26.08294,,36.43689,32.88596
Ecuador,ECU,AME,34,115,1.475489,7,31.5802,36.4198,,,44.81405,37.26319,,34.50329,,,32.41864,33.31699,,27.318,31.0894
Indonesia,IDN,AP,34,115,1.804611,8,31.04044,36.95956,,,36.83502,37.26319,,46.73721,39.93912,28.54696,32.41864,24.63613,,,23.90317
Malawi,MWI,SSA,34,115,1.421499,9,31.66874,36.33126,39.22922,,32.8455,19.79276,,46.73721,,,32.41864,28.97656,35.11188,37.83979,33.78424
Philippines,PHL,AP,34,115,1.210416,9,32.01492,35.98508,,,32.8455,37.26319,,34.50329,30.95098,36.10416,41.12743,24.63613,,41.17169,23.90317
Sri Lanka,LKA,AP,34,115,0.6168234,8,32.98841,35.01159,,,32.8455,37.26319,,34.50329,,,32.41864,38.38083,35.11188,30.12381,32.88596
Turkey,TUR,ECA,34,115,1.574261,9,31.41821,36.58179,,26.04268,32.8455,37.26319,,46.73721,44.13358,,32.41864,20.2957,,36.08616,32.88596
Angola,AGO,SSA,33,121,2.813869,7,28.38526,37.61475,,,32.8455,19.79276,,46.73721,,,39.03732,41.27445,,19.42665,29.29284
Mongolia,MNG,AP,33,121,1.052163,7,31.27445,34.72555,,,36.83502,37.26319,,34.50329,33.00541,,33.11534,25.35954,,,32.88596
Peru,PER,AME,33,121,1.402434,8,30.70001,35.29999,,,44.81405,37.26319,,34.50329,24.27408,,32.41864,28.25316,,31.70208,31.0894
Uzbekistan,UZB,ECA,33,121,2.122716,9,29.51875,36.48125,,,28.85599,19.79276,23.71598,34.50329,,,47.74611,18.84889,35.11188,48.88768,37.37735
Niger,NER,SSA,32,125,1.504424,7,29.53275,34.46725,39.22922,,28.85599,,,34.50329,,,23.70985,37.65742,35.11188,,28.39456
El Salvador,SLV,AME,31,126,1.256549,7,28.93926,33.06074,,,28.85599,37.26319,,34.50329,,,32.41864,22.46592,,30.12381,31.98768
Kenya,KEN,SSA,31,126,1.544741,9,28.46663,33.53337,29.11713,,28.85599,19.79276,,34.50329,,,41.12743,36.21062,43.44326,28.19481,22.10661
Mexico,MEX,AME,31,126,1.560548,9,28.4407,33.5593,,43.78042,28.85599,37.26319,,22.45197,28.81095,,23.70985,40.55105,,29.77308,21.20833
